Gameweek,Player Name,Position,Team,Cost,Title,Relegation,Top 6,F1 Start,F1 Win,F1 Opponent Win,F1 Diff,F1 Opponent,F1 Venue,F1 Opponent Title,F1 Opponent Relegation,F1 Opponent Top 6,F1 Score 1+,F1 Score 2+,F1 Score 3+,F1 Assist,F1 Yellow Card,F1 Clean Sheet,F1 Concede 2+ Goals,F1 Concede 4+ Goals,F1 3+ Saves,F1 6+ Saves,F1 Defensive Contribution - DEF,F1 Defensive Contribution - MID,Score 1+ Factor,Assist Factor,F1 Yellow Card Factor,F1 Concede 2+ Goals Factor,F1 Concede 4+ Goals Factor,F1 3+ Saves Factor,F1 6+ Saves Factor,F1 XP Pre,F1 Bonus Probability,F1 XP,F1 Pred XP,F2 Start,F2 Win,F2 Opponent Win,F2 Diff,F2 Opponent,F2 Venue,F2 Opponent Title,F2 Opponent Relegation,F2 Opponent Top 6,F2 Score 1+,F2 Score 2+,F2 Score 3+,F2 Assist,F2 Yellow Card,F2 Clean Sheet,F2 Concede 2+ Goals,F2 Concede 4+ Goals,F2 3+ Saves,F2 6+ Saves,F2 Defensive Contribution - DEF,F2 Defensive Contribution - MID,Clean Sheet Factor,F2 XP Pre,F2 Bonus Probability,F2 XP,F3 Start,F3 Opponent,F3 Venue,F3 Opponent Title,F3 Opponent Relegation,F3 Opponent Top 6,F3 Win Pred,F3 Opponent Win Pred,F3 Diff,F3 Score 1+,F3 Score 2+,F3 Score 3+,F3 Assist,F3 Yellow Card,F3 Clean Sheet,F3 Concede 2+ Goals,F3 Concede 4+ Goals,F3 3+ Saves,F3 6+ Saves,F3 Defensive Contribution - DEF,F3 Defensive Contribution - MID,F3 XP Pre,F3 Bonus Probability,F3 XP,F4 Start,F4 Opponent,F4 Venue,F4 Opponent Title,F4 Opponent Relegation,F4 Opponent Top 6,F4 Win Pred,F4 Opponent Win Pred,F4 Diff,F4 Score 1+,F4 Score 2+,F4 Score 3+,F4 Assist,F4 Yellow Card,F4 Clean Sheet,F4 Concede 2+ Goals,F4 Concede 4+ Goals,F4 3+ Saves,F4 6+ Saves,F4 Defensive Contribution - DEF,F4 Defensive Contribution - MID,F4 XP Pre,F4 Bonus Probability,F4 XP,F5 Start,F5 Opponent,F5 Venue,F5 Opponent Title,F5 Opponent Relegation,F5 Opponent Top 6,F5 Win Pred,F5 Opponent Win Pred,F5 Diff,F5 Score 1+,F5 Score 2+,F5 Score 3+,F5 Assist,F5 Yellow Card,F5 Clean Sheet,F5 Concede 2+ Goals,F5 Concede 4+ Goals,F5 3+ Saves,F5 6+ Saves,F5 Defensive Contribution - DEF,F5 Defensive Contribution - MID,F5 XP Pre,F5 Bonus Probability,F5 XP,F6 Start,F6 Opponent,F6 Venue,F6 Opponent Title,F6 Opponent Relegation,F6 Opponent Top 6,F6 Win Pred,F6 Opponent Win Pred,F6 Diff,F6 Score 1+,F6 Score 2+,F6 Score 3+,F6 Assist,F6 Yellow Card,F6 Clean Sheet,F6 Concede 2+ Goals,F6 Concede 4+ Goals,F6 3+ Saves,F6 6+ Saves,F6 Defensive Contribution - DEF,F6 Defensive Contribution - MID,F6 XP Pre,F6 Bonus Probability,F6 XP,Total XP
16,David Raya,GK,Arsenal,5.9,0.5394616173059287,0.0004627315971643807,,1.0,0.8826125330979699,0.03734129947722181,0.8452712336207482,,H,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.6523157208088715,0.09090909090909091,0.02859918288048913,0.3463203463203463,0.03663003663003663,0.0,0.0,#N/A,#N/A,#N/A,0.4485905831299276,0.5620344459285901,1.005601068071537,-0.06468761560359719,4.753196718606708,0.090765693215067,4.934728105036842,3.409444293570507,1.0,0.5644615037254459,0.1941747572815534,0.3702867464438925,,A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.4388852315119596,0.2193308550185873,0.02859918288048913,0.5084424289712095,0.1320188554708679,0.0,0.0,1.26525943158973,3.900142134691762,0.07070014329221964,4.041542421276202,1.0,Brighton,H,0.001798205391019762,0.004606596646397641,,0.8723961054534337,0.0,0.8723961054534337,#N/A,#N/A,#N/A,#N/A,#N/A,0.6280681088283326,0.07273211941769894,0.0102833822840836,0.3369202672141088,0.1320188554708679,0.0,0.0,4.815180554594741,0.09222367700517752,4.999627908605096,1.0,Aston Villa,H,0.03106554830692761,0.003688947912055482,,0.8516702011506077,0,0.8516702011506077,#N/A,#N/A,#N/A,#N/A,#N/A,0.6236077026740019,0.0701742155099823,0.00500665029083796,0.34244545831974,0.1320188554708679,0.0,0.0,4.818533392884975,0.09230254246744038,5.003138477819856,1.0,Bournemouth,A,0.001199601732224901,0.01815541031227305,,0.749471368961424,0.05734456639697806,0.6921268025644459,#N/A,#N/A,#N/A,#N/A,#N/A,0.5725852014309354,0.08360864485621175,0.003824957568524848,0.4146970801322155,0.1320188554708679,0.0,0.0,4.662189536477352,0.08862502227702028,4.839439581031392,1.0,Liverpool,H,0.03465003465003465,0.002637965600928564,,0.8488460539030313,0.0,0.8488460539030313,#N/A,#N/A,#N/A,#N/A,#N/A,0.6229999200856152,0.06982567113889027,0.004287633744337146,0.3431983303307903,0.1320188554708679,0.0,0.0,4.818990256377664,0.09231328881051543,5.003616833998695,22.26211512414014
16,Kepa Arrizabalaga,GK,Arsenal,4.2,0.5394616173059287,0.0004627315971643807,,0.0,0.8826125330979699,0.03734129947722181,0.8452712336207482,,H,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.6523157208088715,0.09090909090909091,0.02859918288048913,0.3463203463203463,0.03663003663003663,0.0,0.0,#N/A,#N/A,#N/A,0.4485905831299276,0.5620344459285901,1.005601068071537,-0.06468761560359719,0.0,0.0,0.0,3.409444293570507,0.0,0.5644615037254459,0.1941747572815534,0.3702867464438925,,A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.4388852315119596,0.2193308550185873,0.02859918288048913,0.5084424289712095,0.1320188554708679,0.0,0.0,1.26525943158973,0.0,0.0,0.0,0.0,Brighton,H,0.001798205391019762,0.004606596646397641,,0.8723961054534337,0.0,0.8723961054534337,#N/A,#N/A,#N/A,#N/A,#N/A,0.6280681088283326,0.07273211941769894,0.0102833822840836,0.3369202672141088,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,H,0.03106554830692761,0.003688947912055482,,0.8516702011506077,0,0.8516702011506077,#N/A,#N/A,#N/A,#N/A,#N/A,0.6236077026740019,0.0701742155099823,0.00500665029083796,0.34244545831974,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,A,0.001199601732224901,0.01815541031227305,,0.749471368961424,0.05734456639697806,0.6921268025644459,#N/A,#N/A,#N/A,#N/A,#N/A,0.5725852014309354,0.08360864485621175,0.003824957568524848,0.4146970801322155,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,H,0.03465003465003465,0.002637965600928564,,0.8488460539030313,0.0,0.8488460539030313,#N/A,#N/A,#N/A,#N/A,#N/A,0.6229999200856152,0.06982567113889027,0.004287633744337146,0.3431983303307903,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0
16,Karl Hein,GK,Arsenal,4.0,0.5394616173059287,0.0004627315971643807,,0.0,0.8826125330979699,0.03734129947722181,0.8452712336207482,,H,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.6523157208088715,0.09090909090909091,0.02859918288048913,0.3463203463203463,0.03663003663003663,0.0,0.0,#N/A,#N/A,#N/A,0.4485905831299276,0.5620344459285901,1.005601068071537,-0.06468761560359719,0.0,0.0,0.0,3.409444293570507,0.0,0.5644615037254459,0.1941747572815534,0.3702867464438925,,A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.4388852315119596,0.2193308550185873,0.02859918288048913,0.5084424289712095,0.1320188554708679,0.0,0.0,1.26525943158973,0.0,0.0,0.0,0.0,Brighton,H,0.001798205391019762,0.004606596646397641,,0.8723961054534337,0.0,0.8723961054534337,#N/A,#N/A,#N/A,#N/A,#N/A,0.6280681088283326,0.07273211941769894,0.0102833822840836,0.3369202672141088,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,H,0.03106554830692761,0.003688947912055482,,0.8516702011506077,0,0.8516702011506077,#N/A,#N/A,#N/A,#N/A,#N/A,0.6236077026740019,0.0701742155099823,0.00500665029083796,0.34244545831974,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,A,0.001199601732224901,0.01815541031227305,,0.749471368961424,0.05734456639697806,0.6921268025644459,#N/A,#N/A,#N/A,#N/A,#N/A,0.5725852014309354,0.08360864485621175,0.003824957568524848,0.4146970801322155,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,H,0.03465003465003465,0.002637965600928564,,0.8488460539030313,0.0,0.8488460539030313,#N/A,#N/A,#N/A,#N/A,#N/A,0.6229999200856152,0.06982567113889027,0.004287633744337146,0.3431983303307903,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0
16,Tommy Setford,GK,Arsenal,4.0,0.5394616173059287,0.0004627315971643807,,0.0,0.8826125330979699,0.03734129947722181,0.8452712336207482,,H,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.6523157208088715,0.09090909090909091,0.02859918288048913,0.3463203463203463,0.03663003663003663,0.0,0.0,#N/A,#N/A,#N/A,0.4485905831299276,0.5620344459285901,1.005601068071537,-0.06468761560359719,0.0,0.0,0.0,3.409444293570507,0.0,0.5644615037254459,0.1941747572815534,0.3702867464438925,,A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.4388852315119596,0.2193308550185873,0.02859918288048913,0.5084424289712095,0.1320188554708679,0.0,0.0,1.26525943158973,0.0,0.0,0.0,0.0,Brighton,H,0.001798205391019762,0.004606596646397641,,0.8723961054534337,0.0,0.8723961054534337,#N/A,#N/A,#N/A,#N/A,#N/A,0.6280681088283326,0.07273211941769894,0.0102833822840836,0.3369202672141088,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,H,0.03106554830692761,0.003688947912055482,,0.8516702011506077,0,0.8516702011506077,#N/A,#N/A,#N/A,#N/A,#N/A,0.6236077026740019,0.0701742155099823,0.00500665029083796,0.34244545831974,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,A,0.001199601732224901,0.01815541031227305,,0.749471368961424,0.05734456639697806,0.6921268025644459,#N/A,#N/A,#N/A,#N/A,#N/A,0.5725852014309354,0.08360864485621175,0.003824957568524848,0.4146970801322155,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,H,0.03465003465003465,0.002637965600928564,,0.8488460539030313,0.0,0.8488460539030313,#N/A,#N/A,#N/A,#N/A,#N/A,0.6229999200856152,0.06982567113889027,0.004287633744337146,0.3431983303307903,0.1320188554708679,0.0,0.0,0.0,0.0,0.0,0.0
16,Gabriel Magalhaes,DEF,Arsenal,6.3,0.5394616173059287,0.0004627315971643807,,0.0,0.8826125330979699,0.03734129947722181,0.8452712336207482,,H,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.6523157208088715,0.09090909090909091,0.02859918288048913,#VALUE!,#VALUE!,0.4410960344848619,0.0,#N/A,#N/A,#N/A,0.4485905831299276,0.5620344459285901,#VALUE!,#VALUE!,0.0,0.0,0.0,3.409444293570507,0.0,0.5644615037254459,0.1941747572815534,0.3702867464438925,,A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.4388852315119596,0.2193308550185873,0.02859918288048913,#VALUE!,#VALUE!,0.4410960344848619,0.0,1.26525943158973,0.0,0.0,0.0,0.0,Brighton,H,0.001798205391019762,0.004606596646397641,,0.8723961054534337,0.0,0.8723961054534337,#N/A,#N/A,#N/A,#N/A,#N/A,0.6280681088283326,0.07273211941769894,0.0102833822840836,#VALUE!,#VALUE!,0.4410960344848619,0.0,0.0,0.0,0.0,0.0,Aston Villa,H,0.03106554830692761,0.003688947912055482,,0.8516702011506077,0,0.8516702011506077,#N/A,#N/A,#N/A,#N/A,#N/A,0.6236077026740019,0.0701742155099823,0.00500665029083796,#VALUE!,#VALUE!,0.4410960344848619,0.0,0.0,0.0,0.0,0.0,Bournemouth,A,0.001199601732224901,0.01815541031227305,,0.749471368961424,0.05734456639697806,0.6921268025644459,#N/A,#N/A,#N/A,#N/A,#N/A,0.5725852014309354,0.08360864485621175,0.003824957568524848,#VALUE!,#VALUE!,0.4410960344848619,0.0,0.0,0.0,0.0,0.0,Liverpool,H,0.03465003465003465,0.002637965600928564,,0.8488460539030313,0.0,0.8488460539030313,#N/A,#N/A,#N/A,#N/A,#N/A,0.6229999200856152,0.06982567113889027,0.004287633744337146,#VALUE!,#VALUE!,0.4410960344848619,0.0,0.0,0.0,0.0,0.0
16,William Saliba,DEF,Arsenal,6.0,0.5394616173059287,0.0004627315971643807,,0.0,0.8826125330979699,0.03734129947722181,0.8452712336207482,,H,,,,0.100250626566416,0.00630715862503942,0,0.1731601731601732,0.1360544217687075,0.6523157208088715,0.09090909090909091,0.02859918288048913,#VALUE!,#VALUE!,0.1906715272006936,0.0,0.3341924908522242,0.833695934405853,0.8041265820891531,0.4485905831299276,0.5620344459285901,#VALUE!,#VALUE!,0.0,0.0,0.0,3.409444293570507,0.0,0.5644615037254459,0.1941747572815534,0.3702867464438925,,A,,,,0.0675856793881376,0.01,0,0.1154438276649608,0.158434642824057,0.4388852315119596,0.2193308550185873,0.02859918288048913,#VALUE!,#VALUE!,0.1906715272006936,0.0,1.26525943158973,0.0,0.0,0.0,0.0,Brighton,H,0.001798205391019762,0.004606596646397641,,0.8723961054534337,0.0,0.8723961054534337,0.09662512662447925,0.01,0,0.1666713598861936,0.1381924704401684,0.6280681088283326,0.07273211941769894,0.0102833822840836,#VALUE!,#VALUE!,0.1906715272006936,0.0,0.0,0.0,0.0,0.0,Aston Villa,H,0.03106554830692761,0.003688947912055482,,0.8516702011506077,0,0.8516702011506077,0.09381089262952401,0.01,0,0.1615593720720924,0.1400846232018954,0.6236077026740019,0.0701742155099823,0.00500665029083796,#VALUE!,#VALUE!,0.1906715272006936,0.0,0.0,0.0,0.0,0.0,Bournemouth,A,0.001199601732224901,0.01815541031227305,,0.749471368961424,0.05734456639697806,0.6921268025644459,0.08450519800538968,0.01,0,0.1465324997447166,0.1459611096870562,0.5725852014309354,0.08360864485621175,0.003824957568524848,#VALUE!,#VALUE!,0.1906715272006936,0.0,0.0,0.0,0.0,0.0,Liverpool,H,0.03465003465003465,0.002637965600928564,,0.8488460539030313,0.0,0.8488460539030313,0.09342742028135702,0.01,0,0.1608628038498378,0.1403424511806387,0.6229999200856152,0.06982567113889027,0.004287633744337146,#VALUE!,#VALUE!,0.1906715272006936,0.0,0.0,0.0,0.0,0.0
16,Riccardo Calafiori,DEF,Arsenal,5.8,0.5394616173059287,0.0004627315971643807,,0.0,0.8826125330979699,0.03734129947722181,0.8452712336207482,,H,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.6523157208088715,0.09090909090909091,0.02859918288048913,#VALUE!,#VALUE!,0.2057182065449689,0.0,#N/A,#N/A,#N/A,0.4485905831299276,0.5620344459285901,#VALUE!,#VALUE!,0.0,0.0,0.0,3.409444293570507,1.0,0.5644615037254459,0.1941747572815534,0.3702867464438925,,A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.4388852315119596,0.2193308550185873,0.02859918288048913,#VALUE!,#VALUE!,0.2057182065449689,0.0,1.26525943158973,3.671117263339623,0.06531302026827461,3.801743303876172,1.0,Brighton,H,0.001798205391019762,0.004606596646397641,,0.8723961054534337,0.0,0.8723961054534337,#N/A,#N/A,#N/A,#N/A,#N/A,0.6280681088283326,0.07273211941769894,0.0102833822840836,#VALUE!,#VALUE!,0.2057182065449689,0.0,4.757677844999702,0.09087109827008301,4.939420041539869,1.0,Aston Villa,H,0.03106554830692761,0.003688947912055482,,0.8516702011506077,0,0.8516702011506077,#N/A,#N/A,#N/A,#N/A,#N/A,0.6236077026740019,0.0701742155099823,0.00500665029083796,#VALUE!,#VALUE!,0.2057182065449689,0.0,4.755505492184304,0.0908200001871592,4.937145492558622,1.0,Bournemouth,A,0.001199601732224901,0.01815541031227305,,0.749471368961424,0.05734456639697806,0.6921268025644459,#N/A,#N/A,#N/A,#N/A,#N/A,0.5725852014309354,0.08360864485621175,0.003824957568524848,#VALUE!,#VALUE!,0.2057182065449689,0.0,4.526910013964206,0.08544297734846605,4.697795968661138,1.0,Liverpool,H,0.03465003465003465,0.002637965600928564,,0.8488460539030313,0.0,0.8488460539030313,#N/A,#N/A,#N/A,#N/A,#N/A,0.6229999200856152,0.06982567113889027,0.004287633744337146,#VALUE!,#VALUE!,0.2057182065449689,0.0,4.755209483665944,0.09081303747479035,4.936835558615525,16.88931975125735
16,Jurrien Timber,DEF,Arsenal,6.1,0.5394616173059287,0.0004627315971643807,,1.0,0.8826125330979699,0.03734129947722181,0.8452712336207482,,H,,,,0.126984126984127,0.01046572475143904,0,0.2116402116402116,0.1731601731601732,0.6523157208088715,0.09090909090909091,0.02859918288048913,#VALUE!,#VALUE!,0.2248812552447279,0.0,0.4233104884128174,1.018961697607154,1.023433831749831,0.4485905831299276,0.5620344459285901,#VALUE!,#VALUE!,6.106468418319639,0.1225973501357145,6.351663118591068,3.409444293570507,1.0,0.5644615037254459,0.1941747572815534,0.3702867464438925,,A,,,,0.08560852722497429,0.01,0,0.1410980115905076,0.2016440908669817,0.4388852315119596,0.2193308550185873,0.02859918288048913,#VALUE!,#VALUE!,0.2248812552447279,0.0,1.26525943158973,4.504744467993528,0.08492159937614377,4.674587666745816,1.0,Brighton,H,0.001798205391019762,0.004606596646397641,,0.8723961054534337,0.0,0.8723961054534337,0.1223918270576737,0.01,0,0.2037094398609033,0.1758813260147598,0.6280681088283326,0.07273211941769894,0.0102833822840836,#VALUE!,#VALUE!,0.2248812552447279,0.0,6.025601898313213,0.1206952078521234,6.26699231401746,1.0,Aston Villa,H,0.03106554830692761,0.003688947912055482,,0.8516702011506077,0,0.8516702011506077,0.1188271306640637,0.01,0,0.1974614547547796,0.178289520438776,0.6236077026740019,0.0701742155099823,0.00500665029083796,#VALUE!,#VALUE!,0.2248812552447279,0.0,5.980889217393768,0.1196434761715362,6.220176169736841,1.0,Bournemouth,A,0.001199601732224901,0.01815541031227305,,0.749471368961424,0.05734456639697806,0.6921268025644459,0.1070399174734936,0.01,0,0.1790952774657648,0.1857686850562534,0.5725852014309354,0.08360864485621175,0.003824957568524848,#VALUE!,#VALUE!,0.2248812552447279,0.0,5.618992763545727,0.1111309477841226,5.841254659113972,1.0,Liverpool,H,0.03465003465003465,0.002637965600928564,,0.8488460539030313,0.0,0.8488460539030313,0.1183413990230522,0.01,0,0.1966100935942462,0.1786176651389948,0.6229999200856152,0.06982567113889027,0.004287633744337146,#VALUE!,#VALUE!,0.2248812552447279,0.0,5.97479659084752,0.1195001654099154,6.213796921667351,27.50461668049994
16,Jakub Kiwior,DEF,Arsenal,5.4,0.5394616173059287,0.0004627315971643807,,0.0,0.8826125330979699,0.03734129947722181,0.8452712336207482,,H,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.6523157208088715,0.09090909090909091,0.02859918288048913,#VALUE!,#VALUE!,0.3828191744042415,0.0,#N/A,#N/A,#N/A,0.4485905831299276,0.5620344459285901,#VALUE!,#VALUE!,0.0,0.0,0.0,3.409444293570507,0.0,0.5644615037254459,0.1941747572815534,0.3702867464438925,,A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,0.4388852315119596,0.2193308550185873,0.02859918288048913,#VALUE!,#VALUE!,0.3828191744042415,0.0,1.26525943158973,0.0,0.0,0.0,0.0,Brighton,H,0.001798205391019762,0.004606596646397641,,0.8723961054534337,0.0,0.8723961054534337,#N/A,#N/A,#N/A,#N/A,#N/A,0.6280681088283326,0.07273211941769894,0.0102833822840836,#VALUE!,#VALUE!,0.3828191744042415,0.0,0.0,0.0,0.0,0.0,Aston Villa,H,0.03106554830692761,0.003688947912055482,,0.8516702011506077,0,0.8516702011506077,#N/A,#N/A,#N/A,#N/A,#N/A,0.6236077026740019,0.0701742155099823,0.00500665029083796,#VALUE!,#VALUE!,0.3828191744042415,0.0,0.0,0.0,0.0,0.0,Bournemouth,A,0.001199601732224901,0.01815541031227305,,0.749471368961424,0.05734456639697806,0.6921268025644459,#N/A,#N/A,#N/A,#N/A,#N/A,0.5725852014309354,0.08360864485621175,0.003824957568524848,#VALUE!,#VALUE!,0.3828191744042415,0.0,0.0,0.0,0.0,0.0,Liverpool,H,0.03465003465003465,0.002637965600928564,,0.8488460539030313,0.0,0.8488460539030313,#N/A,#N/A,#N/A,#N/A,#N/A,0.6229999200856152,0.06982567113889027,0.004287633744337146,#VALUE!,#VALUE!,0.3828191744042415,0.0,0.0,0.0,0.0,0.0
16,Myles Lewis-Skelly,DEF,Arsenal,5.2,0.5394616173059287,0.0004627315971643807,,0.0,0.8826125330979699,0.03734129947722181,0.8452712336207482,,H,,,,0.1360544217687075,0.01175778953556731,0,0.1731601731601732,0.1831501831501831,0.6523157208088715,0.09090909090909091,0.02859918288048913,#VALUE!,#VALUE!,0.2485028656470771,0.0,0.4535469518708757,0.833695934405853,1.08247809127386,0.4485905831299276,0.5620344459285901,#VALUE!,#VALUE!,0.0,0.0,0.0,3.409444293570507,0.0,0.5644615037254459,0.1941747572815534,0.3702867464438925,,A,,,,0.09172342202675816,0.01,0,0.1154438276649608,0.2132774038016152,0.4388852315119596,0.2193308550185873,0.02859918288048913,#VALUE!,#VALUE!,0.2485028656470771,0.0,1.26525943158973,0.0,0.0,0.0,0.0,Brighton,H,0.001798205391019762,0.004606596646397641,,0.8723961054534337,0.0,0.8723961054534337,0.1311341004189361,0.01,0,0.1666713598861936,0.1860283255925343,0.6280681088283326,0.07273211941769894,0.0102833822840836,#VALUE!,#VALUE!,0.2485028656470771,0.0,0.0,0.0,0.0,0.0,Aston Villa,H,0.03106554830692761,0.003688947912055482,,0.8516702011506077,0,0.8516702011506077,0.127314782854354,0.01,0,0.1615593720720924,0.1885754543102439,0.6236077026740019,0.0701742155099823,0.00500665029083796,#VALUE!,#VALUE!,0.2485028656470771,0.0,0.0,0.0,0.0,0.0,Bournemouth,A,0.001199601732224901,0.01815541031227305,,0.749471368961424,0.05734456639697806,0.6921268025644459,0.1146856258644574,0.01,0,0.1465324997447166,0.1964861091941141,0.5725852014309354,0.08360864485621175,0.003824957568524848,#VALUE!,#VALUE!,0.2485028656470771,0.0,0.0,0.0,0.0,0.0,Liverpool,H,0.03465003465003465,0.002637965600928564,,0.8488460539030313,0.0,0.8488460539030313,0.1267943560961274,0.01,0,0.1608628038498378,0.1889225304354752,0.6229999200856152,0.06982567113889027,0.004287633744337146,#VALUE!,#VALUE!,0.2485028656470771,0.0,0.0,0.0,0.0,0.0
